Issue key,Issue id,Summary,Issue Type,Affects Version/s,Affects Version/s,Affects Version/s,Created,Component/s,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Status,Fix Version/s,Fix Version/s,Fix Version/s,Custom field (Root Cause),Custom field (RCA Subcategory),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Resolution,Custom field (Resolved Date),Custom field (Urgency),Resolved,Custom field (Epic Link),Custom field (Target Release),Custom field (Defect Phase),Assignee
TM-46969,4468269,PP: Projects Failed & Fire Action Plans have stopped working,Bug,TASK-24.8.1.6,,,2024-Sep-10 8:51 AM,SAAS,,,RCA_Already_Reported,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Environment Specific,,,,,,Duplicate,,,2024-Sep-11 7:54 AM,,,,
TM-46908,4465713,PARTNER01 - English showing when it should be German on mobility for Surveys attached to Tasks,Bug,,,,2024-Sep-09 5:03 PM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Not a Bug,,,,,,Closed by Salesforce,,,2024-Nov-07 5:29 AM,,,,
TM-46904,4464678,User ID instead of user name in project edits,Bug,TASK-24.7.1.3,,,2024-Sep-09 8:59 AM,SAAS,,,CAN_BE_TESTED,RCA_Already_Reported,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-24.10.0.1,,,,Duplicate Issue,,,,,,Duplicate,,,2024-Sep-09 1:45 PM,,,,RV1486
TM-46902,4464572,"""Error"" - no other context given",Bug,TASK-24.7.1.3,,,2024-Sep-09 8:48 AM,SAAS,,,CAN_BE_TESTED,CYB_RTM_Feat_Dev_POD,RCA_Already_Reported,TestCoverage_Done,WK_2024-09-09_PR,WK_2024-09-16_VD,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,,New Feature Bug,,,,,,Duplicate,,,2024-Sep-18 9:36 AM,,,,DS1376
TM-46894,4464499,"Error en el reporte análisis de desempeño, no muestra todas las Caminatas Activas",Bug,TASK-24.8.1.5,,,2024-Sep-09 7:47 AM,SAAS,,,CAN_BE_TESTED,RAR_ETL_DATA_ISSUE,RCA_DataIssue,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.1.1.0,,,,Legacy,TASK-25.1.0.1,,,,,Work Complete,,,2024-Oct-18 12:47 PM,,,,Jirasalesforce
TM-46882,4463922,Z182SP-MWCL03PRWAS01     	CPU Usage    	Critical,Bug,TASK-24.8.1.0,,,2024-Sep-09 4:41 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-25.3.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Feb-22 6:50 AM,RAR-7945,,,SS8013
TM-46874,4460404,Reportes,Bug,TASK-24.8.1.3,,,2024-Sep-06 5:42 PM,SAAS,,,CODE_MERGE_VERSION_NA,MOVE_24.10_TO_25.1,RCA_EnvSpecific_Missed,Retrospective_Done,SFDC_Addressed,TKT_CAT_ETL_DATA,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,ETL DATA,,,,,,Script Issue,,,2024-Oct-15 2:12 PM,,,,
TM-46871,4460058,Projects Failing to Launch,Bug,TASK-24.8.1.3,,,2024-Sep-06 2:08 PM,SAAS,,,CAN_BE_TESTED,PROJECT_LAUNCH,RCA_EnvSpecific_Missed,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-24.10.1.0,,,,Deployment,,,,,,Environmental Issue,,,2024-Sep-10 2:35 PM,,,,VK3578
TM-46870,4460127,Field Leaders unable to see store Comm,Bug,TASK-24.8.1.3,,,2024-Sep-06 2:00 PM,SAAS,,,MOVE_25.1_TO_25.2,RCA_Configuration_Issue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,Integration,Environment Specific,,,,,,Work Complete,,,2025-Feb-10 10:18 AM,,,,PA1587
TM-46869,4459893,"Reflexis - Dollar General Corporation - TM - MWSurvey Download Response Issue | 19810833",Bug,TASK-24.8.1.3,,,2024-Sep-06 1:29 PM,SAAS,,,RCA_Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.8.1.5,,,,Duplicate Issue,TASK-24.8.1.5,TASK-24.9.1.1,,,,Duplicate,,,2024-Sep-07 8:26 AM,,,,PD7505
TM-46868,4459984,Show more task button is not working correctly,Bug,TASK-24.5.1.6,,,2024-Sep-06 12:28 PM,SAAS,,,CAN_BE_TESTED,RCA_Corner_UI_Issue,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,,Legacy,TASK-24.10.1.0,,,,,Work Complete,,,2024-Sep-13 6:55 AM,,,,DS1376
TM-46858,4457554,Reporting Unavailable to Field Leaders,Bug,TASK-24.8.1.3,,,2024-Sep-05 6:31 PM,SAAS,,,CFQ_Scrum_QA,CYB_MYWORK_Dev_POD,CYB_MYWORK_QA_POD,RAR_ETL_DATA_ISSUE,RCA_DataIssue,Retrospective_Done,TCM_updated,TKT_CAT_ETL_DATA,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.9.1.6,,,,Performance,TASK-24.10.1.0,TASK-24.8.1.7,TASK-24.9.1.6,,,Work Complete,,,2024-Sep-19 11:49 AM,,,,DN2676
TM-46857,4457295,Public Broadcast Messages Overlap,Bug,TASK-24.8.1.3,,,2024-Sep-05 4:42 PM,SAAS,,,CYB_KERNEL_DEV,RCA_Testcase_Missing,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.1.1.0,,,Code Error,New Feature Bug,TASK-25.1.0.6,,,,,Work Complete,,,2025-Feb-27 12:54 PM,,,,HD1845
TM-46856,4457242,Monro - Prod - Walk Names,Bug,TASK-24.5.1.5,,,2024-Sep-05 3:37 PM,SAAS,,,CAN_BE_TESTED,RCA_Testcase_Missing,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.2.1.0,,,,Could Not Reproduce,TASK-25.2.0.5,,,,,Fixed in Latest Release,,,2025-Jan-09 1:03 PM,,,,DS1376
TM-46852,4456497,Training01* Unable to Download Specific Survey Responses,Bug,TASK-24.8.1.0,,,2024-Sep-05 9:41 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Data Issue,,,,,,Work Complete,,,2024-Sep-05 7:13 PM,,,,PA1587
TM-46851,4456417,"Reflexis - James Hall and Co Ltd - TM - System Loading Very Slowly | 19612007",Bug,TASK-24.7.1.3,,,2024-Sep-05 8:39 AM,SAAS,,,RCA_EnvSpecific_Missed,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Environment Specific,TASK-24.10.0.6,,,,,Environmental Issue,,,2024-Sep-10 7:28 AM,,,,
TM-46798,4453480,Monthly LP Sign Order Project Did Not Launch,Bug,TASK-24.7.1.4,,,2024-Sep-04 1:25 PM,SAAS,,,CAN_BE_TESTED,MOVE_24.10_TO_25.1,RCA_Testcase_Missing,Retrospective_Done,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-25.1.1.0,,,,Legacy,TASK-25.1.0.2,,,,,Work Complete,,,2024-Oct-18 12:13 PM,,,,PR4060
TM-46778,4451554,CL55: Projects are failing to launch multiple times after 24.8.1.2 version is applied,Bug,,,,2024-Sep-04 2:21 AM,AAR,SAAS,,RCA_Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Configuration,,,,,,Closed by Salesforce,,,2024-Sep-24 6:04 AM,,,,PA1587
TM-46773,4450370,"Reflexis - Ahold Delhaize USA Services, LLC - FL Forms emails have stopped flowing to Creators | 19752105",Bug,TASK-24.8.1.3,,,2024-Sep-03 3:48 PM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Environment Specific,,,,,,Cannot Reproduce,,,2024-Sep-28 11:47 AM,,,,PG5466
TM-46769,4449569,Download Survey Responses - not working,Bug,TASK-24.8.1.3,,,2024-Sep-03 9:18 AM,SAAS,,,CAN_BE_TESTED,RCA_Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.8.1.5,,,,Duplicate Issue,TASK-24.8.1.5,,,,,Duplicate,,,2024-Sep-04 10:27 AM,,,,MS5895
TM-46766,4449317,MYWORK 24.5 [UK/ROI] - PLAN CALENDAR - Unable to use distribution lists in .xml file,Bug,TASK-24.7.1.3,,,2024-Sep-03 7:46 AM,SAAS,,,RCA_Feature_Parity,Retrospective_Done,SCRUM_VER,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,,Feature Parity,TASK-24.10.1.1,,,,,Work Complete,,,2024-Sep-23 5:32 AM,,,,PD7505
TM-46763,4449030,early & mid day reports missing from Walk Summary report,Bug,TASK-24.5.1.6,,,2024-Sep-03 6:35 AM,SAAS,,,RCA_Duplicate,TKT_CAT_ETL_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,Others,Closed by Salesforce,TASK-24.10.1.0,,,,,Closed by Salesforce,,,2024-Oct-05 4:03 AM,,,,SG7981
TM-46756,4448831,Dept Unable to Reject Form- Receives Error,Bug,TASK-24.8.1.3,,,2024-Sep-03 5:14 AM,SAAS,,,CAN_BE_TESTED,RCA_DataIssue,Retrospective_Done,SWA_DISC_NEEDED,SWA_FORM_APPROVAL_FLOW,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.1.1.0,,,,Duplicate Issue,TASK-25.1.0.9,,,,,Duplicate,,,2024-Dec-03 11:52 AM,,,,RD4624
TM-46701,4441790,File type (jpg) missing,Bug,TASK-24.7.1.3,,,2024-Aug-30 2:06 PM,SAAS,,,RCA_Configuration_Issue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Data Issue,,,,,,Script Issue,,,2024-Sep-02 9:00 AM,,,,PA1587
TM-46679,4440384,v17_Walgreens_Prod_-Project Formatting,Bug,TASK-24.7.1.5,,,2024-Aug-30 5:06 AM,SAAS,,,CAN_BE_TESTED,Insufficient_Impact_Analysis,RELEASE_NOTES,SCRUM_VER,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.1.1.0,,,,Configuration,TASK-25.1.0.1,TASK-25.1.0.7,,,,Work Complete,,,2024-Dec-12 7:35 AM,,,,PK4763
TM-46664,4439130,Data missing from Legal diary sign off,Bug,TASK-24.5.1.6,,,2024-Aug-29 4:20 PM,SAAS,,,RCA_Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Environment Specific,TASK-24.10.1.0,,,,,Environmental Issue,,,2024-Sep-19 5:10 PM,,,,SG7981
TM-46663,4439118,Not Completed on Time Projects - Dashboard,Bug,TASK-24.7.1.3,,,2024-Aug-29 4:05 PM,SAAS,,,RCA_Not_Bug,RTM_PERSISTENT_DEV,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2024-Oct-25 3:02 PM,RAR-7088,,,SD7273
TM-46662,4439063,Jumbo PP: Mobility - Project Notes hard to read in Dark mode,Bug,TASK-24.8.1.3,,,2024-Aug-29 3:53 PM,MyWork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2024-Sep-03 3:36 PM,,,,
TM-46659,4438294,"Reflexis - Coop Switzerland - Shared Project Notification Missing since 24.08. Release | 19757890",Bug,TASK-24.8.1.3,,,2024-Aug-29 10:52 AM,SAAS,,,RCA_Testcase_Missing,Retrospective_Done,SCRUM_VER,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-24.9.1.4,,,,Regression,TASK-24.10.0.5,TASK-24.9.1.4,,,,Work Complete,,,2024-Sep-04 7:48 AM,,,,MP2227
TM-46636,4435076,"Reflexis - CVS Pharmacy, Inc. - Child stores not loading again- no log files since 8/21 | 19716741",Bug,TASK-24.7.1.4,,,2024-Aug-28 1:34 PM,SAAS,,,RCA_Informational,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Jan-31 8:02 AM,,,,DR8222
TM-46635,4435171,Caminata no aparece en la reportería,Bug,TASK-24.8.1.3,,,2024-Aug-28 1:34 PM,SAAS,,,RAR_ETL_DATA_ISSUE,RCA_EnvSpecific_Missed,TKT_CAT_ETL_DATA,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2024-Sep-19 1:23 PM,,,,HD1845
TM-46522,4431972,"Reflexis - Ahold Delhaize USA Services, LLC - FL - Survey responses are blank | 19739195",Bug,TASK-24.8.1.3,,,2024-Aug-27 1:53 PM,SAAS,,,RCA_Execution_Missing,Retrospective_Done,TCM_updated,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-24.8.1.5,,,,Regression,TASK-24.8.1.4,,,,,Work Complete,,,2024-Aug-28 11:35 AM,,,,PR4060
TM-46468,4429235,MyWork > Calendar > Store Projects empty in some languages.,Bug,TASK-24.7.1.3,,,2024-Aug-26 4:53 PM,SAAS,,,CAN_BE_TESTED,CST_Required,CYB_MYWORK_Dev_POD,RCA_EnvSpecific_Missed,TKT_CAT_ETL_DATA,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-24.10.1.0,,,Others,Data Issue,,,,,,Closed by Salesforce,,,2024-Sep-29 3:24 AM,,,,SP5894
TM-46467,4429083,Desktop/Mobile myWork: Project is Not Displaying Details in User View,Bug,TASK-24.7.1.4,,,2024-Aug-26 3:47 PM,SAAS,,,RCA_Not_Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Could Not Reproduce,,,,,,Cannot Reproduce,,,2024-Sep-04 2:41 PM,,,,FI9357
TM-46466,4429026,v17_Walgreens_Prod_-Project Distribution List error,Bug,TASK-24.7.1.5,,,2024-Aug-26 1:52 PM,SAAS,,,RCA_Not_Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Configuration,,,,,,Works As Expected,,,2024-Aug-27 10:01 AM,,,,PA1587
TM-46460,4426605,v17 TSC – Overdue Notifications,Bug,TASK-24.7.1.1,,,2024-Aug-23 3:26 PM,SAAS,,,RCA_Not_Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2024-Nov-05 1:27 PM,,,,
TM-46459,4426273,BSA - Missing Walk,Bug,TASK-24.5.1.6,,,2024-Aug-23 12:07 PM,SAAS,,,RCA_DataIssue,RCA_EnvSpecific_Missed,Retrospective_Done,TKT_CAT_ETL_DATA,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2024-Oct-03 12:04 PM,,,,HD1845
TM-46457,4425883,WR PLN - Copying plan with amended resource duplicates resource entry,Bug,TASK-24.5.1.6,,,2024-Aug-23 9:18 AM,SAAS,,,CAN_BE_TESTED,CYB_RTM_Feat_Dev_POD,RCA_Testcase_Missing,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,,Legacy,TASK-24.10.0.5,,,,,Work Complete,,,2024-Aug-30 1:51 AM,,,,AG9216
TM-46456,4425689,CL 24 BOA PR: Active/Inactive User Counts are Mismatch After V17 Migration,Bug,,,,2024-Aug-23 8:42 AM,SAAS,,,CAN_BE_TESTED,Kernel_Scrubbed,RCA_Not_Bug,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2024-Aug-23 9:04 AM,,,,SP5894
TM-46448,4424991,Daily Backlog will not allow me to add stores.,Bug,TASK-24.7.1.3,,,2024-Aug-23 4:51 AM,SAAS,,,CAN_BE_TESTED,RCA_Already_Reported,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.8.1.2,,,,Duplicate Issue,,,,,,Duplicate,,,2024-Aug-23 9:31 PM,,,,MS5895
TM-46442,4423773,Dashboard: Completion Rate,Bug,TASK-24.7.1.2,,,2024-Aug-22 7:44 PM,SAAS,,,CAN_BE_TESTED,CYB_MYWORK_QA_POD2,RCA_Test_Case_Step_Missing,Retrospective_Done,RTM_PERSISTENT_DEV,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-25.1.1.0,,,,Internally Reported,TASK-25.1.0.3,,,,,Work Complete,,,2024-Oct-11 1:14 AM,RAR-7088,,,PA8353
TM-46439,4423545,"Reflexis - CVS Pharmacy, Inc. - Desktop/Mobile myWork: Project with Survey Unable to be Completed | 19708896",Bug,TASK-24.7.1.4,,,2024-Aug-22 2:18 PM,SAAS,,,RCA_Duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,TASK-24.7.1.5,,,Code Error,Legacy,,,,,,Work Complete,,,2024-Aug-23 8:37 AM,,,,RJ5203
TM-46438,4423403,QS BE Next Approver And Reviewer Report last Column,Bug,TASK-24.7.1.3,,,2024-Aug-22 1:09 PM,SAAS,,,CAN_BE_TESTED,CST_Required,CYB_RTM_Feat_POD_FRByOtherTeam,CYB_RTM_FRI_STATUS_2024_08_23,PI3_24_RTM_Sprint_1,SCRUM_VER,TCM_updated,TestCoverage_Done,WK_2024-08-19_IP,WK_2024-08-26_MTO,,,,,,,,,,,,,,,,,,Medium,Done,TASK-24.10.1.0,,,,Legacy,TASK-24.10.0.5,TASK-24.9.1.4,,,,Work Complete,,,2024-Sep-05 12:07 PM,,,,SD7273
TM-46433,4422904,MYWORK 24.5 [UK/ROI] - Duration filter organising in number order,Bug,TASK-24.7.1.3,,,2024-Aug-22 9:53 AM,SAAS,,,CAN_BE_TESTED,RCA_Execution_Missing,Retrospective_Done,SCRUM_VER,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-24.10.1.0,,,,Legacy,TASK-24.10.0.4,,,,,Work Complete,,,2024-Sep-03 12:59 PM,,,,RD4624
TM-46430,4422713,MYWORK 24.7 [UK/ROI] - STRONG HTML code not replicating on mobile app,Bug,TASK-24.8.1.6,,,2024-Aug-22 8:43 AM,SAAS,,,RCA_Not_Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2024-Oct-26 9:53 AM,,,,AJ5718
TM-46412,4420542,ERROR EN LA APROBACIÓN DE UNA CAMINATA,Bug,TASK-24.5.1.5,,,2024-Aug-21 4:05 PM,SAAS,,,RCA_DataIssue,Retrospective_Done,SWA_WALK_APPROVAL_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2024-Oct-27 3:46 PM,,,,PA1587
TM-46411,4420527,Unable to Restore Form,Bug,TASK-24.7.1.4,,,2024-Aug-21 3:46 PM,SAAS,,,CODE_MERGE_VERSION_NA,RCA_Not_Bug,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Not a Bug,,,,,,Script Issue,,,2024-Aug-27 2:38 PM,,,,
TM-46402,4419353,Jumbo PP: Forms: Questions answered with 'Other' not visible in reporting,Bug,,,,2024-Aug-21 7:01 AM,SAAS,,,CAN_BE_TESTED,RAR_ETL_DATA_ISSUE,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,,New Feature Bug,TASK-24.10.1.0,,,,,Work Complete,,,2024-Sep-16 5:42 PM,,,,DS1376
TM-46399,4419324,"[Major Incident] Reflexis - Tesco Stores Limited - CHAT 24.7 [UK/ROI] Users chats not displaying after update | 19643463",Bug,TASK-24.7.1.3,,,2024-Aug-21 6:43 AM,SAAS,,,DEV_TO_CHECK,RCA_New_Requirement,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,Documentation,User Documentation,NA,,,,,Enhancement,,,2024-Sep-30 2:32 PM,,,,SD7273
TM-46398,4419321,Jumbo PP: Checks: Due by date on Checklist notification incorrect,Bug,,,,2024-Aug-21 6:41 AM,Qcheck,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Deployment,,,,,,Closed by Salesforce,,,2024-Sep-09 7:53 AM,,,,KM5655
TM-46395,4419018,NO PERMITE AUTORIZAR CAMINATA,Bug,TASK-24.7.1.5,,,2024-Aug-21 5:31 AM,SAAS,,,CAN_BE_TESTED,MOVE_25.1_TO_25.2,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.3.1.0,,,Code Error,Internally Reported,TASK-25.2.1.0,,,,,Work Complete,,,2025-Feb-10 11:24 PM,,,,AB3899
TM-46392,4418795,August Checklist,Bug,TASK-24.5.1.5,,,2024-Aug-21 4:54 AM,SAAS,,,RCA_Already_Reported,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-24.8.1.0,,,,Internally Reported,TASK-24.8.0.1,,,,,Work Complete,,,2024-Aug-21 10:43 AM,,,,MR4672
TM-46338,4416587,Bashas - PreProd - No Units Populating in Switch To,Bug,TASK-24.7.1.3,,,2024-Aug-20 1:25 PM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Not a Bug,,,,,,Work Complete,,,2024-Aug-20 4:08 PM,,,,
TM-46333,4416417,Tasks Launching Everyday Creating Multiple Notifications on the Incoming Page,Bug,TASK-24.7.1.3,,,2024-Aug-20 10:02 AM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2024-Aug-20 3:39 PM,,,,
TM-46329,4415889,CHAT 24.2 [UK] - Viewing attachments and images,Bug,TASK-24.5.1.5,,,2024-Aug-20 8:14 AM,SAAS,,,CAN_BE_TESTED,CST_Required,RCA_Duplicate,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.9.1.0,,,,New Feature Bug,TASK-24.9.1.0,,,,,Work Complete,,,2024-Aug-29 5:11 AM,,,,VK3578
TM-46300,4413731,Date Range switches on Zebra Devices,Bug,TASK-24.5.1.5,,,2024-Aug-19 2:58 PM,SAAS,,,CAN_BE_TESTED,CYB_MYWORK_QA_POD2,MOVE_24.10_REOPEN_TO_25.1,RCA_Informational,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.1.1.0,,,Others,Legacy,,,,,,Closed by Salesforce,,,2024-Oct-30 4:48 PM,RAR-7088,,,GB5176
TM-46299,4413627, Case 19303135_ Data Fix Scripts,Bug,,,,2024-Aug-19 12:58 PM,SWA,,,CANNOT_BE_TESTED,L2_Attention_Required,RAR_ETL_DATA_ISSUE,,,,,,,,,,,,,,,,,,,,,,,,,High,Verify,TASK-25.1.1.0,,,,Legacy,TASK-25.1.0.2,,,,,Work Complete,,,2024-Oct-15 3:35 PM,,,,SG7981
TM-46298,4413418,v17_Walgreens_Prod_-Distribution List- “Urgent: MF (Single Task),Bug,TASK-24.7.1.5,,,2024-Aug-19 11:22 AM,SAAS,,,RCA_Configuration_Issue,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Data Issue,,,,,,Work Complete,,,2024-Sep-03 9:25 AM,,,,AL5699
TM-46297,4413240,ROS - Department Resource shouting profiles not applicable to environment,Bug,TASK-24.7.1.3,,,2024-Aug-19 10:34 AM,SAAS,,,RCA_Not_Bug,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,Others,Not a Bug,,,,,,Closed by Salesforce,,,2024-Aug-31 6:45 AM,,,,PA1587
TM-46293,4412935,Jumbo PP: Please enable uk_UA in PP and add missing translations for FR_BE,Bug,TASK-24.10.2.2,,,2024-Aug-19 9:04 AM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Environment Specific,,,,,,Work Complete,,,2024-Nov-14 7:51 AM,,,,KM5655
TM-46281,4411122,"[MAJOR INCIDENT] Reflexis - WAITROSE LTD - TM - Projects failing to launch | 19594996 | ZINC0045705",Bug,TASK-24.5.1.6,,,2024-Aug-18 2:44 PM,SAAS,,,PROJECT_LAUNCH,RCA_EnvSpecific_Missed,,,,,,,,,,,,,,,,,,,,,,,,,,Highest,Done,,,,,Not a Bug,,,,,,Environmental Issue,,,2024-Aug-19 5:31 PM,,,,
TM-46280,4408893,MYWORK 24.5 [UK/ROI] - Transfer project screen in America Date format,Bug,TASK-24.5.1.5,,,2024-Aug-16 2:30 PM,SAAS,,,24.9_RRR,CAN_BE_TESTED,CYB_REOPENED,CYB_REOPENED_NOT_VALID,CYB_RTM_Feat_Dev_POD,JASM_UNIT_Y,JUNIT_Y,SCRUM_VER,SONARLINT_Y,TCM_updated,TestCoverage_Done,WK_2024-08-19_PR,WK_2024-08-26_VD,,,,,,,,,,,,,,,Low,Done,TASK-24.10.0.4,,,,Legacy,TASK-24.10.0.4,,,,,Work Complete,,,2024-Sep-09 3:48 PM,,,,RV1486
TM-46279,4408884,v17_Walgreens_Prod_-Remove scroll bar,Bug,TASK-24.7.1.5,,,2024-Aug-16 2:10 PM,SAAS,,,CAN_BE_TESTED,CYB_MYWORK_Dev_POD,RCA_Duplicate,REOPENED_NOT_A_BUG,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-24.8.0.3,,,,Legacy,,,,,,Work Complete,,,2024-Aug-22 10:15 AM,,,,MS5895
TM-46278,4408844,myWalk: Users able to Complete Walk after Expiration Time,Bug,TASK-24.5.1.5,,,2024-Aug-16 1:18 PM,SAAS,,,CAN_BE_TESTED,RCA_Corner_UI_Issue,Retrospective_Done,TCM_updated,TestCoverage_Done,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-24.10.1.0,,,,New Feature Bug,TASK-24.10.1.0,,,,,Work Complete,,,2024-Sep-19 11:58 AM,,,,DS1376
TM-46277,4408822,Link inside Document in Docs closes out session,Bug,TASK-24.7.1.0,,,2024-Aug-16 12:31 PM,SAAS,,,CYB_MYWORK_Dev_POD,RCA_EnvSpecific_Missed,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Configuration,,,,,,Work Complete,,,2024-Oct-10 8:47 PM,,,,AW8696
TM-46273,4407993,Forms doesn't open rejected form for editing after rejection,Bug,TASK-24.5.1.5,,,2024-Aug-16 7:52 AM,SAAS,,,CAN_BE_TESTED,Forms,MOVE_24.10_TO_25.1,RCA_Corner_UI_Issue,Retrospective_Done,TCM_updated,TestCoverage_Done,TIER_1,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-25.1.1.0,,,,Standardization,TASK-25.1.0.3,,,,,Work Complete,,,2024-Oct-24 2:45 AM,,,,AG9216
TM-46256,4407770,Training01* Attribute Based Skip Not Saving,Bug,TASK-24.8.1.0,,,2024-Aug-16 6:19 AM,SAAS,,,RCA_Configuration_Issue,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Configuration,,,,,,Work Complete,,,2024-Nov-25 5:57 AM,,,,GR2722
