Issue key,Issue id,Summary,Issue Type,Affects Version/s,Affects Version/s,Affects Version/s,Created,Component/s,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Status,Fix Version/s,Fix Version/s,Fix Version/s,Custom field (Root Cause),Custom field (RCA Subcategory),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Custom field (Code Merged Version),Resolution,Custom field (Resolved Date),Custom field (Urgency),Resolved,Custom field (Epic Link),Custom field (Target Release),Custom field (Defect Phase),Assignee
TM-58556,5563465,Unable to submit walk,Bug,TASK-25.8.1.6,,,2025-Sep-18 5:31 PM,SAAS,,,RCA_Missing,Retrospective_Done,STOREWALK_FEEDBACK,,,,,,,,,,,,,,,,,,,,,,,,,High,Done,,,,,Configuration,,,,,,Environmental Issue,,,2025-Oct-14 6:00 PM,,,,SP2471
TM-58553,5562966,Checklist completion is not reporting accurately,Bug,,,,2025-Sep-18 2:18 PM,SAAS,,,CAN_BE_TESTED,FT-Candidate-Bug,RCA_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,High,Done,TASK-26.1.1.0,,,,Legacy,TASK-26.1.0.2,,,,,Work Complete,,,2025-Oct-07 5:38 AM,,,,MS5895
TM-58519,5559320,Security of Unsanitized HTML in Zebra Rendering Engine,Bug,TASK-25.7.1.9,,,2025-Sep-17 12:39 PM,SAAS,,,RCA_Informational,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,,,,,Not a Bug,,,,,,Works As Expected,,,2025-Sep-23 5:45 PM,,,,
TM-58471,5556347,Loop Pre-Prod: Walk Reports (Mobile) Not Displaying all filters,Bug,,,,2025-Sep-16 10:09 PM,SAAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Not a Bug,,,,,,Done,,,2025-Sep-22 11:54 AM,,,,
TM-58437,5551459,GER - RTM - error message when querying responses,Bug,TASK-25.8.1.4,,,2025-Sep-15 10:11 AM,SAAS,,,CAN_BE_TESTED,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.8.1.7,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-16 11:00 AM,,,,RV1486
TM-58425,5550623,RFX-MWCL25-PR-pulse NORMALIZED_SYSTEM_CPU_USER alert,Bug,TASK-25.8.1.0,,,2025-Sep-15 6:14 AM,SAAS,,,CANNOT_BE_TESTED,CODE_MERGE_VERSION_NA,NOC_ALERT,,,,,,,,,,,,,,,,,,,,,,,,,High,Verify,,,,,Could Not Reproduce,,,,,,Environmental Issue,,,2025-Sep-22 1:58 PM,,,,NS2154
TM-58353,5545662,[TM] v45HNMROW PP - Change in left navigation menu color and hierarchy menu in the header after 16.1 release,Bug,,,,2025-Sep-12 9:36 AM,WFM,,,CAN_BE_TESTED,CYB_KERNEL_DEV,Kernel_Scrubbed,RCA_Missing,Retrospective_Done,WFM_AskOn_TM,,,,,,,,,,,,,,,,,,,,,,Medium,Done,,,,,Duplicate Issue,,,,,,Duplicate,,,2025-Sep-17 9:03 AM,,,,RV1486
TM-58345,5545096,Approval Queue default date,Bug,TASK-25.8.1.6,,,2025-Sep-12 7:21 AM,SAAS,,,RCA_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Done,TASK-25.NOT A BUG,,,Others,Closed by Salesforce,,,,,,Closed by Salesforce,,,2025-Sep-25 9:12 AM,,,,AJ5718
TM-58344,5544933,PLN Calendar not aligning to the categories,Bug,TASK-25.8.1.5,,,2025-Sep-12 5:38 AM,SAAS,,,CAN_BE_TESTED,RCA_Execution_Missing,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.8.1.7,,,Code Error,Regression,TASK-25.8.1.7,TASK-25.9.1.0,,,,Work Complete,,,2025-Sep-16 2:55 AM,,,,MS4969
TM-58343,5544850,AP - Overview alignment categories not correct,Bug,TASK-25.8.1.4,,,2025-Sep-12 5:07 AM,SAAS,,,CAN_BE_TESTED,RCA_DuplicateIssue,Retrospective_Done,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Done,TASK-25.8.1.7,,,,Duplicate Issue,TASK-25.8.1.7,TASK-25.9.1.0,,,,Code Issue,,,2025-Sep-16 3:11 AM,,,,MS4969
